"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Corey Kluber","CLE","10.07","1.89","5.33","0.95","28.2%","5.3%","22.9%",".218","1.02",".283","75.3%","71","71","74","3.07","3.01","0.06","3.12","3.17","2429","446372"
"Aaron Barrett","WSN","10.23","3.13","3.27","0.57","25.9%","7.9%","18.0%",".264","1.39",".356","63.3%","134","75","92","5.40","3.01","2.39","3.67","3.20","11243","502578"
"Cody Stashak","MIN","9.00","0.36","25.00","1.08","24.0%","1.0%","23.1%",".284","1.20",".351","82.1%","70","66","106","3.24","3.01","0.23","4.88","3.85","18088","664054"
"Pedro Avila","SDP","8.44","3.38","2.50","0.00","21.7%","8.7%","13.0%",".200","1.13",".267","85.7%","40","69","119","1.69","3.03","-1.34","5.26","4.76","18864","658648"
"Dustin Molleken","DET","8.64","5.40","1.60","0.00","19.0%","11.9%","7.1%",".324","2.04",".414","76.5%","102","70","99","4.32","3.03","1.29","4.23","4.24","6200","451783"
"Mauricio Cabrera","ATL","7.51","4.46","1.68","0.00","19.8%","11.7%","8.0%",".218","1.30",".282","72.5%","68","76","111","2.82","3.04","-0.22","4.61","4.46","12975","606291"
"Trevor Rosenthal","- - -","12.14","5.23","2.32","0.47","30.1%","13.0%","17.1%",".239","1.50",".355","72.8%","97","75","87","4.03","3.05","0.98","3.62","3.54","10745","572096"
"Gerrit Cole","- - -","10.52","2.37","4.45","0.93","28.9%","6.5%","22.4%",".226","1.11",".301","76.1%","76","73","77","3.15","3.05","0.10","3.23","3.32","13125","543037"
"Stephen Strasburg","WSN","10.82","2.41","4.50","0.96","29.6%","6.6%","23.0%",".217","1.08",".290","75.2%","77","72","75","3.28","3.06","0.22","3.14","3.27","10131","544931"
"Manny Parra","CIN","6.40","1.67","3.83","0.56","17.7%","4.6%","13.1%",".258","1.18",".303","65.3%","99","78","94","3.90","3.07","0.83","3.64","3.55","4279","448159"
"Kevin Ginkel","ARI","10.36","3.33","3.11","0.74","29.2%","9.4%","19.8%",".172","0.99",".228","80.2%","33","71","90","1.48","3.09","-1.61","3.98","3.68","19876","656464"
"Walker Buehler","LAD","10.34","2.24","4.61","0.93","28.6%","6.2%","22.4%",".211","1.04",".276","73.8%","76","73","77","3.12","3.10","0.02","3.32","3.45","19374","621111"
"Sean Doolittle","- - -","10.68","1.89","5.64","1.12","29.8%","5.3%","24.5%",".208","0.99",".269","79.0%","72","72","89","3.06","3.10","-0.05","3.83","3.03","1581","448281"
"Josh Taylor","BOS","11.79","3.04","3.88","0.95","32.0%","8.2%","23.7%",".227","1.18",".321","80.4%","63","69","74","3.04","3.11","-0.07","3.37","3.22","17359","657031"
"Jeurys Familia","- - -","9.83","3.89","2.53","0.52","25.9%","10.3%","15.7%",".226","1.28",".304","75.3%","82","76","83","3.26","3.11","0.15","3.48","3.46","5114","544727"
"Chad Green","NYY","12.04","2.29","5.26","1.21","33.2%","6.3%","26.9%",".220","1.08",".304","80.0%","72","70","73","3.16","3.13","0.03","3.20","2.74","15552","643338"
"Ichiro Suzuki","MIA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","237","83","194","9.00","3.13","5.87","7.56","7.50","1101","400085"
"David Ross","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","81","119","0.00","3.13","-3.13","4.61","4.48","1551","424325"
"Ronald Belisario","TBR","6.75","4.50","1.50","0.00","16.7%","11.1%","5.6%",".250","1.50",".308","41.7%","202","79","87","7.88","3.13","4.74","3.50","2.96","2203","430613"
"Cesar Jimenez","- - -","9.78","3.13","3.13","0.78","27.5%","8.8%","18.7%",".205","1.09",".268","76.6%","78","79","81","3.13","3.13","0.00","3.16","2.91","3762","462945"
"Brendan Ryan","NYY","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","75","133","0.00","3.13","-3.13","5.35","6.16","6073","453895"
"Bobby LaFromboise","PIT","9.00","1.13","8.00","1.13","27.6%","3.4%","24.1%",".179","0.75",".211","100.0%","29","82","77","1.13","3.13","-2.01","2.98","2.53","7758","489039"
"Jaff Decker","PIT","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","82","119","0.00","3.13","-3.13","4.61","5.14","7945","543094"
"Giovanni Soto","CLE","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".231","0.90",".231","100.0%","0","77","122","0.00","3.13","-3.13","4.90","4.18","10330","543803"
"Kenneth Roberts","- - -","3.95","1.98","2.00","0.00","9.2%","4.6%","4.6%",".361","1.83",".400","57.7%","172","77","122","7.24","3.13","4.11","4.75","4.41","10938","594977"
"Brett Bochy","SFG","9.00","3.00","3.00","0.00","25.0%","8.3%","16.7%",".100","0.67",".143","100.0%","0","85","131","0.00","3.13","-3.13","5.10","3.54","11867","594762"
"Chris Denorfia","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","81","81","0.00","3.13","-3.13","3.13","-1.42","4400","456121"
"Donovan Hand","CIN","9.00","3.00","3.00","0.00","23.1%","7.7%","15.4%",".182","1.00",".250","100.0%","0","79","93","0.00","3.13","-3.13","3.63","2.74","8728","518764"
"Alexi Amarista","SDP","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","80","135","0.00","3.14","-3.14","5.35","5.91","9063","506560"
"Jack Leathersich","- - -","11.34","7.02","1.62","0.00","27.3%","16.9%","10.4%",".254","1.74",".381","83.3%","69","78","115","2.70","3.14","-0.44","4.67","4.37","12562","605333"
"Eduardo Escobar","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","73","113","0.00","3.15","-3.15","4.81","6.03","6153","500871"
"Tyler Holt","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","156","0.00","3.15","-3.15","6.48","7.34","11391","534627"
"Ty Buttrey","LAA","10.56","2.84","3.71","0.81","27.4%","7.4%","20.1%",".243","1.26",".325","71.8%","84","68","81","3.86","3.15","0.71","3.65","3.42","14719","621142"
"Luis Sardinas","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".143","0.50",".143","100.0%","0","74","114","0.00","3.15","-3.15","4.87","4.24","13153","596143"
"Andrew Chafin","ARI","9.61","3.76","2.55","0.54","25.3%","9.9%","15.4%",".231","1.29",".307","73.6%","82","76","84","3.55","3.15","0.40","3.47","3.52","12988","605177"
"Taylor Rogers","MIN","9.84","2.26","4.34","0.85","26.8%","6.2%","20.6%",".231","1.12",".301","79.4%","69","72","77","3.04","3.16","-0.11","3.33","3.12","13449","573124"
"Jon Jay","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","73","155","0.00","3.16","-3.16","6.72","8.58","5227","445055"
"Michael Martinez","CLE","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","72","112","0.00","3.16","-3.16","4.94","3.82","7358","492841"
"Brett Nicholas","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".625","5.00",".625","20.0%","754","69","234","36.00","3.16","32.84","10.27","7.75","11192","592592"
"Dan Slania","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","155","0.00","3.16","-3.16","6.72","7.51","15639","592753"
"Brandon Guyer","CLE","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","152","0.00","3.16","-3.16","6.46","7.37","2636","446386"
"Chase d'Arnaud","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","81","200","0.00","3.16","-3.16","8.12","10.55","6652","488818"
"Greg Garcia","STL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","79","119","0.00","3.16","-3.16","4.81","4.75","10951","594824"
"Mitch Garver","MIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","75","114","0.00","3.16","-3.16","4.81","5.18","15161","641598"
"Ian Happ","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","78","119","0.00","3.16","-3.16","4.81","5.18","17919","664023"
"Scott Kingery","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","50.0%","336","75","108","13.50","3.16","10.34","4.40","4.51","17975","664068"
"Anthony Rizzo","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","78","200","0.00","3.16","-3.16","8.12","13.28","3473","519203"
"Carlos Tocci","TEX","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","72","191","0.00","3.16","-3.16","8.12","13.28","14558","624636"
"Phillip Ervin","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","78","0.00","3.16","-3.16","3.16","-1.16","14738","640447"
"Osmer Morales","LAA","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","74","75","0.00","3.16","-3.16","3.16","3.68","17133","591672"
"Anthony Banda","- - -","7.51","2.64","2.85","0.41","19.6%","6.9%","12.7%",".254","1.29",".313","59.4%","119","74","108","5.28","3.16","2.11","4.66","4.37","14706","607455"
"Corey Knebel","MIL","13.02","3.99","3.26","1.01","35.0%","10.7%","24.3%",".207","1.20",".308","81.8%","73","77","74","3.02","3.17","-0.15","3.04","2.79","15010","608349"
"Andres Munoz","SDP","11.74","4.30","2.73","0.78","30.9%","11.3%","19.6%",".186","1.17",".259","70.2%","93","72","85","3.91","3.17","0.74","3.77","3.72","20373","662253"
"Daniel Robertson","TBR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".167","0.50",".167","100.0%","0","76","111","0.00","3.19","-3.19","4.84","5.75","14145","621002"
"Mitch Keller","PIT","12.19","3.00","4.06","1.13","28.6%","7.0%","21.6%",".343","1.83",".475","59.6%","164","72","78","7.13","3.19","3.93","3.47","3.78","17594","656605"
"Seranthony Dominguez","PHI","11.21","3.70","3.03","0.76","30.2%","10.0%","20.2%",".185","1.09",".255","73.9%","78","74","79","3.27","3.20","0.07","3.32","3.18","19249","622554"
"Victor Arano","PHI","9.64","2.77","3.48","0.84","26.3%","7.6%","18.8%",".221","1.14",".285","82.7%","65","76","92","2.65","3.20","-0.55","3.78","3.38","15915","644364"
"Ian Desmond","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","69","117","0.00","3.21","-3.21","5.20","6.49","6885","435622"
"Caleb Joseph","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","106","0.00","3.21","-3.21","4.71","4.11","7087","543376"
"Taylor Davis","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","72","117","0.00","3.21","-3.21","5.20","5.17","12782","543089"
"Jose Peraza","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","0.75",".250","100.0%","0","70","140","0.00","3.21","-3.21","6.20","6.49","13593","606299"
"Jacob Stallings","PIT","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","72","163","0.00","3.21","-3.21","7.19","7.80","13723","607732"
"Jose Rondon","CHW","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","69","157","0.00","3.21","-3.21","7.19","6.49","14140","602922"
"Kyle Farmer","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".200","0.75",".200","100.0%","0","70","140","0.00","3.21","-3.21","6.20","6.49","14813","571657"
