"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Pat Valaika","BAL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","70","105","0.00","3.17","-3.17","4.49","3.10","14885","642162"
"Mike Tauchman","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","66.7%","219","78","158","9.00","3.17","5.83","6.70","6.25","15274","643565"
"Joshua Fuentes","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","70","116","0.00","3.17","-3.17","4.93","6.25","16885","658069"
"Ka'ai Tom","OAK","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","77","156","0.00","3.17","-3.17","6.70","6.25","18136","664789"
"Jonathan Arauz","BOS","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","197","74","197","9.00","3.17","5.83","8.46","9.40","20275","660620"
"Nick Allgeyer","TOR","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","156","0.00","3.17","-3.17","6.70","7.56","24486","680430"
"Asdrubal Cabrera","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","0.75",".250","100.0%","0","76","137","0.00","3.17","-3.17","5.82","6.25","4962","452678"
"Kevin Pillar","NYM","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","76","200","0.00","3.17","-3.17","8.46","13.47","12434","607680"
"Matt Duffy","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","74","0.00","3.17","-3.17","3.17","-0.97","13836","622110"
"Andrew Knapp","PHI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","73","74","0.00","3.17","-3.17","3.17","-0.97","14942","595284"
"Sergio Alcantara","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","75","200","0.00","3.17","-3.17","8.46","13.47","16417","642727"
"John Nogowski","PIT","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","2.67",".500","37.5%","357","74","116","15.00","3.17","11.83","4.93","4.30","16852","596056"
"Jason Foley","DET","6.24","2.04","3.06","0.38","16.3%","5.3%","11.0%",".286","1.36",".338","73.3%","95","80","96","3.69","3.18","0.52","3.87","3.61","19531","671345"
"Fernando Cruz","CIN","12.89","5.52","2.33","0.61","32.8%","14.1%","18.8%",".167","1.23",".250","90.9%","28","76","90","1.23","3.18","-1.95","3.61","3.42","7048","518585"
"Daniel Robertson","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".200","0.67",".200","100.0%","0","75","127","0.00","3.18","-3.18","5.46","5.98","14145","621002"
"Jesus Sucre","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","50.0%","219","72","152","9.00","3.19","5.81","6.66","5.53","5942","491696"
"Tyler Heineman","SFG","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".333","1.00",".333","100.0%","0","75","72","0.00","3.19","-3.19","3.19","2.67","13897","623168"
"Rob Kaminsky","STL","5.79","3.86","1.50","0.00","14.3%","9.5%","4.8%",".158","1.07",".188","40.0%","45","74","99","1.93","3.19","-1.26","4.43","4.64","15792","641739"
